"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_900","finished","-","dhjayalath","","2023-03-01T05:27:36.000Z","141","","10","500","200","52","900","0.001","","","","199","","","0.04752186450958252","","4.4375570701599125","","99854","","","5.132314733505249","","0.05313806686997414","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_750","finished","-","dhjayalath","","2023-03-01T05:25:13.000Z","141","","10","500","200","52","750","0.001","","","","199","","","0.04447519809007645","","4.425915779876709","","84104","","","5.18467804031372","","0.04730414609313011","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_600","finished","-","dhjayalath","","2023-03-01T05:22:52.000Z","138","","10","500","200","52","600","0.001","","","","199","","","0.04838855377435684","","4.534877150535584","","68354","","","4.550955399894715","","0.05080832979679108","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_500","finished","-","dhjayalath","","2023-03-01T05:20:30.000Z","139","","10","500","200","52","500","0.001","","","","199","","","0.04486520385742187","","4.4573230472564696","","57854","","","5.1359376705169675","","0.051943890249729154","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_350","finished","-","dhjayalath","","2023-03-01T05:18:09.000Z","139","","10","500","200","52","350","0.001","","","","199","","","0.04845190997123718","","4.441196244621277","","42104","","","4.62532894115448","","0.05527251288890839","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_200","finished","-","dhjayalath","","2023-03-01T05:15:48.000Z","138","","10","500","200","52","200","0.001","","","","199","","","0.04913984796404838","","4.242694593620301","","26354","","","4.279731414222717","","0.05415557749867439","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_100","finished","-","dhjayalath","","2023-03-01T05:13:26.000Z","139","","10","500","200","52","100","0.001","","","","199","","","0.04977470582723618","","4.499231776046753","","15854","","","4.5188753753662105","","0.052943504852056504","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_75","finished","-","dhjayalath","","2023-03-01T05:11:05.000Z","139","","10","500","200","52","75","0.001","","","","199","","","0.04913521958589554","","4.5582507692337035","","13229","","","4.591038874626159","","0.05668143540620804","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_1500","finished","-","ygideoni","","2023-03-01T05:08:46.000Z","1173","","10","500","200","184","1500","0.001","","","","199","","","0.009239550476521254","","1.5377112177848815","","572318","","","2.0125873524665834","","0.01378931547626853","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid52_latent_50","finished","-","dhjayalath","","2023-03-01T05:08:43.000Z","139","","10","500","200","52","50","0.001","","","","199","","","0.04939308769702912","","4.539412617492676","","10604","","","4.554706009674073","","0.05210409885644913","",""
